time,static_pressure,total_pressure,position_z
511.068,89012.0,89018.23099577254,1081.086
511.247,89018.6,89026.14010350397,1080.471
511.424,89025.0,89031.23190579528,1079.866
511.604,89031.6,89039.14120463729,1079.247
511.781,89038.09999999999,89045.64175520392,1078.64
511.96,89044.5,89050.73327082941,1078.031
512.141,89051.09999999999,89057.33373284095,1077.416
512.32,89057.6,89065.1434069039,1076.802
512.498,89064.09999999999,89070.3346428637,1076.196
512.679,89070.6,89078.1445080372,1075.577
512.855,89077.0,89083.23554588629,1074.977
513.039,89083.7,89089.936014898,1074.354
513.217,89090.20000000001,89097.74616820744,1073.742
513.393,89096.6,89102.83691792059,1073.134
513.572,89103.2,89110.74726934073,1072.52
513.75,89109.6,89115.83782794334,1071.916
513.932,89116.2,89123.74837047403,1071.296
514.108,89122.6,89128.8387379661,1070.69
514.288,89129.2,89135.43919997764,1070.075
514.466,89135.7,89141.93965498901,1069.462
514.643,89142.2,89148.44011000039,1068.852
514.821,89148.7,89154.94056501176,1068.239
514.998,89155.2,89162.75167387397,1067.629
515.175,89161.7,89167.94147503452,1067.021
515.354,89168.2,89174.44193004588,1066.406
515.53,89174.7,89180.94238505726,1065.795
515.707,89181.2,89187.44284006863,1065.185
515.885,89187.7,89193.94329508001,1064.573
516.062,89194.2,89200.44375009139,1063.963
516.239,89200.7,89206.94420510276,1063.354
